,T1,GMR_scaled_acc_1_1
180,1.8,0.43718686073453134
181,1.81,0.4406945438609553
182,1.82,0.44285324146882377
183,1.83,0.4434423508275746
184,1.84,0.44306347900138787
185,1.85,0.4412047971907389
186,1.86,0.4388606126513331
187,1.87,0.4362607755960721
188,1.8800000000000001,0.43350557730782713
189,1.8900000000000001,0.43101074885557045
190,1.9000000000000001,0.42952564814678884
191,1.9100000000000001,0.42831593828930425
192,1.92,0.4271671315661342
193,1.93,0.42610062565497625
194,1.94,0.4250199425720533
195,1.95,0.4238080162106079
196,1.96,0.43703915247338376
197,1.97,0.45028984437420205
198,1.98,0.4624113688648702
199,1.99,0.47420740827866625
200,2.0,0.48488192898441057
201,2.0100000000000002,0.4945353117809784
202,2.02,0.503411522507186
203,2.0300000000000002,0.5108263499366772
204,2.04,0.5165238491793158
205,2.05,0.5204072443437894
206,2.06,0.5253744282949183
207,2.07,0.531244618624165
208,2.08,0.5349040915301625
209,2.09,0.5366201368460801
210,2.1,0.536976353014656
211,2.11,0.5353419811364011
212,2.12,0.5321008543186885
213,2.13,0.5273119209381593
214,2.14,0.5205471581394157
215,2.15,0.5121414518179086
216,2.16,0.502489936025585
217,2.17,0.49143791640076767
218,2.18,0.4794593385606635
219,2.19,0.4673124906776772
220,2.2,0.4547768744605287
221,2.21,0.4421213809968817
222,2.22,0.42972564440615496
223,2.23,0.41712250966864356
224,2.24,0.4042729553494364
225,2.25,0.39131849677393565
226,2.2600000000000002,0.37799835001575716
227,2.27,0.364340258145592
228,2.2800000000000002,0.35468414210174604
229,2.29,0.35719961176016674
230,2.3000000000000003,0.358381264533974
231,2.31,0.3585647036423601
232,2.32,0.35787122283390393
233,2.33,0.35640698662838216
234,2.34,0.35466423363529415
235,2.35,0.35262584324826585
236,2.36,0.35044253199610154
237,2.37,0.34816958991998204
238,2.38,0.3458636102419549
239,2.39,0.34332475119195044
240,2.4,0.34097289761753613
241,2.41,0.3384475251214724
242,2.42,0.3359029023708955
243,2.43,0.3337309110499038
244,2.44,0.3317615006481499
245,2.45,0.330147549324091
246,2.46,0.3290207785460782
247,2.47,0.328677738670658
248,2.48,0.3289040747809451
249,2.49,0.329665454499485
250,2.5,0.33086610465477667
251,2.5100000000000002,0.3324723734303815
252,2.52,0.3343714015967705
253,2.5300000000000002,0.33619564538905
254,2.54,0.33776064449278587
255,2.5500000000000003,0.339261007992981
256,2.56,0.34023327014777804
257,2.57,0.3407638940414648
258,2.58,0.34104110732661913
259,2.59,0.340868766726928
260,2.6,0.34063212902429685
261,2.61,0.3403450932179066
262,2.62,0.3399918786188387
263,2.63,0.3399989117936462
264,2.64,0.3401187126938152
265,2.65,0.3403855369385429
266,2.66,0.3409423865443905
267,2.67,0.34135089590606305
268,2.68,0.3418862952378711
269,2.69,0.34191888971319806
270,2.7,0.3417381649716429
271,2.71,0.3407615787332604
272,2.72,0.33911765990540743
273,2.73,0.3366465457681408
274,2.74,0.3332378279337473
275,2.75,0.32906795979041226
276,2.7600000000000002,0.32423839143383903
277,2.77,0.31877985428202904
278,2.7800000000000002,0.31285314273292353
279,2.79,0.306614149539155
280,2.8000000000000003,0.3001840925289383
281,2.81,0.2936309655034809
282,2.82,0.2870001862793274
283,2.83,0.28032891062334775
284,2.84,0.2736164914169956
285,2.85,0.26883418203737836
286,2.86,0.2667101523577051
287,2.87,0.26736694644975495
288,2.88,0.26805300747551714
289,2.89,0.2685678970649872
290,2.9,0.26895297518648237
291,2.91,0.26882381179257353
292,2.92,0.26799537350242275
293,2.93,0.26660742536010873
294,2.94,0.26443731753998734
295,2.95,0.261461773941597
296,2.96,0.2579436291700361
297,2.97,0.2536920368806452
298,2.98,0.2490544964085422
299,2.99,0.24397042211733888
300,3.0,0.2386044257740639
301,3.0100000000000002,0.23310536707333224
302,3.02,0.22742540832944036
303,3.0300000000000002,0.22182927156548957
304,3.04,0.21822315742762607
305,3.0500000000000003,0.21483631216139076
306,3.06,0.2112971384306546
307,3.0700000000000003,0.20772176017531468
308,3.08,0.20401407313284864
309,3.09,0.20020407660139114
310,3.1,0.1963193136934996
311,3.11,0.1923877372550216
312,3.12,0.1884400317994619
313,3.13,0.18457738922978395
314,3.14,0.18076434240874373
315,3.15,0.17703688094333478
316,3.16,0.1734399272267374
317,3.17,0.17001767490282685
318,3.18,0.16681085312715485
319,3.19,0.16385431582784588
320,3.2,0.1611753233676851
321,3.21,0.1587926783919997
322,3.22,0.15671667088240832
323,3.23,0.1549496377270316
324,3.24,0.15348687436826733
325,3.25,0.15231764297621386
326,3.2600000000000002,0.15142607756022003
327,3.27,0.15081640076665198
328,3.2800000000000002,0.15043886659175487
329,3.29,0.1502604263841728
330,3.3000000000000003,0.15024796386375922
331,3.31,0.15036455832704934
332,3.3200000000000003,0.15056953279274488
333,3.33,0.1508187715910968
334,3.34,0.1510654707936558
335,3.35,0.1512614534916228
336,3.36,0.15138215829322313
337,3.37,0.1513808478965012
